Company Name,Symbol,Yahoo Finance Codes
Petronet LNG Ltd.,PETRONET,PETRONET.NS
Pfizer Ltd.,PFIZER,PFIZER.NS
Pidilite Industries Ltd.,PIDILITIND,PIDILITIND.NS
Piramal Enterprises Ltd.,PEL,PEL.NS
Polycab India Ltd.,POLYCAB,POLYCAB.NS
Power Finance Corporation Ltd.,PFC,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID.NS
Prestige Estates Projects Ltd.,PRESTIGE,PRESTIGE.NS
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PGHH.NS
Punjab National Bank,PNB,PNB.NS
Quess Corp Ltd.,QUESS,QUESS.NS
RBL Bank Ltd.,RBLBANK,RBLBANK.NS
REC Ltd.,RECLTD,RECLTD.NS
Rajesh Exports Ltd.,RAJESHEXPO,RAJESHEXPO.NS
Reliance Industries Ltd.,RELIANCE,RELIANCE.NS
SBI Cards and Payment Services Ltd.,SBICARD,SBICARD.NS
SBI Life Insurance Company Ltd.,SBILIFE,SBILIFE.NS
SRF Ltd.,SRF,SRF.NS
Shree Cement Ltd.,SHREECEM,SHREECEM.NS
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,SRTRANSFIN.NS
Siemens Ltd.,SIEMENS,SIEMENS.NS
State Bank of India,SBIN,SBIN.NS
Steel Authority of India Ltd.,SAIL,SAIL.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV,SUNTV.NS
Syngene International Ltd.,SYNGENE,SYNGENE.NS
TVS Motor Company Ltd.,TVSMOTOR,TVSMOTOR.NS
Tata Consultancy Services Ltd.,TCS,TCS.NS
Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM.NS
Tata Motors Ltd.,TATAMOTORS,TATAMOTORS.NS
Tata Power Co. Ltd.,TATAPOWER,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL,TATASTEEL.NS
Tech Mahindra Ltd.,TECHM,TECHM.NS
The Ramco Cements Ltd.,RAMCOCEM,RAMCOCEM.NS
Titan Company Ltd.,TITAN,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER,TORNTPOWER.NS
Trent Ltd.,TRENT,TRENT.NS
UPL Ltd.,UPL,UPL.NS
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO.NS
Union Bank of India,UNIONBANK,UNIONBANK.NS
United Breweries Ltd.,UBL,UBL.NS
United Spirits Ltd.,MCDOWELL-N,MCDOWELL-N.NS
V-Guard Industries Ltd.,VGUARD,VGUARD.NS
Varun Beverages Ltd.,VBL,VBL.NS
Vodafone Idea Ltd.,IDEA,IDEA.NS
Voltas Ltd.,VOLTAS,VOLTAS.NS
Whirlpool of India Ltd.,WHIRLPOOL,WHIRLPOOL.NS
Wipro Ltd.,WIPRO,WIPRO.NS
Zee Entertainment Enterprises Ltd.,ZEEL,ZEEL.NS
